paper_id,pmid,title,abstract,journal,publication_date,authors,authors_str,num_authors,doi,mesh_terms,has_abstract,abstract_length,specialty,collection_date
38724043,38724043,European Society of Endocrinology and Endocrine Society Joint Clinical Guideline: Diagnosis and Therapy of Glucocorticoid-induced Adrenal Insufficiency.,"Glucocorticoids are widely prescribed as anti-inflammatory and immunosuppressive agents. This results in at least 1% of the population using chronic glucocorticoid therapy, being at risk for glucocorticoid-induced adrenal insufficiency. This risk is dependent on the dose, duration and potency of the glucocorticoid, route of administration, and individual susceptibility. Once glucocorticoid-induced adrenal insufficiency develops or is suspected, it necessitates careful education and management of affected patients. Tapering glucocorticoids can be challenging when symptoms of glucocorticoid withdrawal develop, which overlap with those of adrenal insufficiency. In general, tapering of glucocorticoids can be more rapidly within a supraphysiological range, followed by a slower taper when on physiological glucocorticoid dosing. The degree and persistence of HPA axis suppression after cessation of glucocorticoid therapy are dependent on overall exposure and recovery of adrenal function varies greatly amongst individuals. This first European Society of Endocrinology/Endocrine Society joint clinical practice guideline provides guidance on this clinically relevant condition to aid clinicians involved in the care of patients on chronic glucocorticoid therapy.",The Journal of clinical endocrinology and metabolism,2024-Jun-17,"['Beuschlein F', 'Else T', 'Bancos I', 'Hahner S', 'Hamidi O', 'van Hulsteijn L', 'Husebye ES', 'Karavitaki N', 'Prete A', 'Vaidya A', 'Yedinak C', 'Dekkers OM']","Beuschlein F, Else T, Bancos I, Hahner S, Hamidi O, van Hulsteijn L, Husebye ES, Karavitaki N, Prete A, Vaidya A, Yedinak C, Dekkers OM",12,10.1210/clinem/dgae250,"['Humans', 'Glucocorticoids', 'Adrenal Insufficiency', 'Endocrinology', 'Societies, Medical', 'Europe']",True,1268,endocrinology,2026-04-22
33332019,33332019,An update on the pathogenesis of Hashimoto's thyroiditis.,"It is 70 years since Noel Rose embarked on his pioneering studies that lead to the discovery of autoimmune thyroiditis and the elucidation of Hashimoto's thyroiditis. This short review to honour his passing focuses on the developments in our understanding of the causes and pathogenesis of HT over the last five years. Recent genetic studies have reported heritability estimates for HT and associated diseases for the first time, and emphasised the complexity of the genetic factors involved, including monogenic forms of HT. Environmental factors continue to be elucidated, especially as a side effect of drugs which modulate the immune system therapeutically. Regarding pathogenetic mechanisms, multiple cytokine networks have been identified which involve the thyroid cells in a circuit of escalating proinflammatory effects, such as the expression of inflammasome components, and an array of different defects in T regulatory cells may underlie the loss of self-tolerance to thyroid autoantigens. Finally, a number of studies have revealed fresh insights into disease associations with HT which may have both pathological and clinical significance, the most intriguing of which is a possible direct role of the autoimmune process itself in causing some of the persistent symptoms reported by a minority of patients with levothyroxine-treated HT.",Journal of endocrinological investigation,2021-May,['Weetman AP'],Weetman AP,1,10.1007/s40618-020-01477-1,"['Autoimmunity', 'Endocrinology', 'Environment', 'Hashimoto Disease', 'Humans', 'Risk Factors', 'Thyroid Gland']",True,1349,endocrinology,2026-04-22
32741489,32741489,Pituitary Endocrinology in 2020: An Update.,,Endocrinology and metabolism clinics of North America,2020-Sep,['Ioachimescu AG'],Ioachimescu AG,1,10.1016/j.ecl.2020.06.003,"['Biomedical Research', 'Endocrinology', 'History, 21st Century', 'Humans', 'Pituitary Diseases', 'Pituitary Gland']",False,0,endocrinology,2026-04-22
34335482,34335482,Editorial: Endocrinology in Cancer and Aging.,,Frontiers in endocrinology,2021,"['Jockers R', 'Liu J']","Jockers R, Liu J",2,10.3389/fendo.2021.722929,"['Aging', 'Animals', 'Cancer Survivors', 'Congresses as Topic', 'Endocrinology', 'Female', 'History, 21st Century', 'Humans', 'Male', 'Neoplasms', 'Pregnancy', 'Risk Factors', 'Therapies, Investigational']",False,0,endocrinology,2026-04-22
34023036,34023036,Postmenopausal Osteoporosis: Latest Guidelines.,"Significant development has occurred in the treatment of postmenopausal osteoporosis. We review the most recent guidelines from the American Association of Clinical Endocrinologists/American College of Endocrinology, Endocrine Society, and the European Society for Clinical and Economic Aspects of Osteoporosis and Osteoarthritis/International Osteoporosis Foundation Guidelines.",Endocrinology and metabolism clinics of North America,2021-Jun,"['Arceo-Mendoza RM', 'Camacho PM']","Arceo-Mendoza RM, Camacho PM",2,10.1016/j.ecl.2021.03.009,"['Bone Density', 'Endocrinologists', 'Endocrinology', 'Female', 'Humans', 'Osteoporosis', 'Osteoporosis, Postmenopausal', 'Risk Assessment', 'United States']",True,379,endocrinology,2026-04-22
38863937,38863937,Editorial: Circadian rhythm in cellular endocrinology.,,Frontiers in endocrinology,2024,"['Tsang AH', 'Rosa-Neto JC']","Tsang AH, Rosa-Neto JC",2,10.3389/fendo.2024.1429793,"['Circadian Rhythm', 'Humans', 'Endocrinology', 'Animals']",False,0,endocrinology,2026-04-22
37500298,37500298,Covid-19 and endocrinology.,,Best practice & research. Clinical endocrinology & metabolism,2023-Jul,['Somasundaram NP'],Somasundaram NP,1,10.1016/j.beem.2023.101809,"['Humans', 'COVID-19', 'Endocrinology']",False,0,endocrinology,2026-04-22
38714321,38714321,European Society of Endocrinology and Endocrine Society Joint Clinical Guideline: Diagnosis and therapy of glucocorticoid-induced adrenal insufficiency.,"Glucocorticoids are widely prescribed as anti-inflammatory and immunosuppressive agents. This results in at least 1% of the population using chronic glucocorticoid therapy, being at risk for glucocorticoid-induced adrenal insufficiency. This risk is dependent on the dose, duration and potency of the glucocorticoid, route of administration, and individual susceptibility. Once glucocorticoid-induced adrenal insufficiency develops or is suspected, it necessitates careful education and management of affected patients. Tapering glucocorticoids can be challenging when symptoms of glucocorticoid withdrawal develop, which overlap with those of adrenal insufficiency. In general, tapering of glucocorticoids can be more rapidly within a supraphysiological range, followed by a slower taper when on physiological glucocorticoid dosing. The degree and persistence of HPA axis suppression after cessation of glucocorticoid therapy are dependent on overall exposure and recovery of adrenal function varies greatly amongst individuals. This first European Society of Endocrinology/Endocrine Society joint clinical practice guideline provides guidance on this clinically relevant condition to aid clinicians involved in the care of patients on chronic glucocorticoid therapy.",European journal of endocrinology,2024-May-02,"['Beuschlein F', 'Else T', 'Bancos I', 'Hahner S', 'Hamidi O', 'van Hulsteijn L', 'Husebye ES', 'Karavitaki N', 'Prete A', 'Vaidya A', 'Yedinak C', 'Dekkers OM']","Beuschlein F, Else T, Bancos I, Hahner S, Hamidi O, van Hulsteijn L, Husebye ES, Karavitaki N, Prete A, Vaidya A, Yedinak C, Dekkers OM",12,10.1093/ejendo/lvae029,"['Humans', 'Glucocorticoids', 'Adrenal Insufficiency', 'Endocrinology', 'Europe', 'Societies, Medical']",True,1268,endocrinology,2026-04-22
32621590,32621590,Osteogenesis imperfecta: an update on clinical features and therapies.,"Osteogenesis imperfecta (OI) is an inherited skeletal dysplasia characterized by bone fragility and skeletal deformities. While the majority of cases are associated with pathogenic variants in COL1A1 and COL1A2, the genes encoding type I collagen, up to 25% of cases are associated with other genes that function within the collagen biosynthesis pathway or are involved in osteoblast differentiation and bone mineralization. Clinically, OI is heterogeneous in features and variable in severity. In addition to the skeletal findings, it can affect multiple systems including dental and craniofacial abnormalities, muscle weakness, hearing loss, respiratory and cardiovascular complications. A multi-disciplinary approach to care is recommended to address not only the fractures, reduced mobility, growth and bone pain but also other extra-skeletal manifestations. While bisphosphonates remain the mainstay of treatment in OI, new strategies are being explored, such as sclerostin inhibitory antibodies and TGF beta inhibition, to address not only the low bone mineral density but also the inherent bone fragility. Studies in animal models have expanded the understanding of pathomechanisms of OI and, along with ongoing clinical trials, will allow to develop better therapeutic approaches for these patients.",European journal of endocrinology,2020-Oct,"['Marom R', 'Rabenhorst BM', 'Morello R']","Marom R, Rabenhorst BM, Morello R",3,10.1530/EJE-20-0299,"['Animals', 'Endocrinology', 'Fractures, Bone', 'Humans', 'Osteogenesis', 'Osteogenesis Imperfecta']",True,1307,endocrinology,2026-04-22
34688424,34688424,Update in Endocrinology.,,The Medical clinics of North America,2021-Nov,"['Holt EH', 'Inzucchi SE']","Holt EH, Inzucchi SE",2,10.1016/j.mcna.2021.09.003,"['Endocrine System Diseases', 'Endocrinology', 'Female', 'Humans']",False,0,endocrinology,2026-04-22
