paper_id,pmid,title,abstract,journal,publication_date,authors,authors_str,num_authors,doi,mesh_terms,has_abstract,abstract_length,specialty,collection_date
32626665,32626665,Editorial: Interplay of Infection and Microbiome.,,Frontiers in cellular and infection microbiology,2020,"['Huston WM', 'Tachedjian G']","Huston WM, Tachedjian G",2,10.3389/fcimb.2020.00304,"['High-Throughput Nucleotide Sequencing', 'Metagenomics', 'Microbiota']",False,0,infectious_disease,2026-04-22
35575541,35575541,Infectious Disease Update: COVID-19 and Beyond.,,Pediatric annals,2022-May,['Krilov LR'],Krilov LR,1,10.3928/19382359-20220314-05,"['COVID-19', 'Communicable Diseases', 'Humans', 'SARS-CoV-2']",False,0,infectious_disease,2026-04-22
39605171,39605171,Urbanization and Infectious Disease.,"The United Nations currently estimates that over half of the global population has lived in cities since 2017 and that this proportion is continuing to grow, particularly in the Global South. While urbanization is not new, increased population density combined with accelerating rates of (re)emerging and noncommunicable diseases as well as growing economic disparities has created new challenges to human health and well-being. Here, I examine peri-urban communities, peripheral settlements on the edges of urban areas populated by rural people, and argue that these areas are often overlooked, despite becoming increasingly common. Thus, human biologists should move beyond categorizing these spaces as transitional. Using unplanned, peri-urban communities around Lima, Peru as a case study, I detail the complexity of political ecological factors that impact infectious disease risk and rates in peri-urban communities. Using disease mechanisms, I demonstrate the importance of a biocultural approach and a political ecology perspective when investigating infectious disease. I highlight how human biologists and anthropologists are uniquely positioned to explore the heterogeneity of infectious disease patterns and pathways in an increasingly urbanized world.",American journal of human biology : the official journal of the Human Biology Council,2025-Jan,['Dorsey AF'],Dorsey AF,1,10.1002/ajhb.24197,"['Urbanization', 'Communicable Diseases', 'Humans', 'Peru']",True,1264,infectious_disease,2026-04-22
37113559,37113559,Editorial: Zoonotic emerging viral infectious diseases.,,Frontiers in veterinary science,2023,"['Chen JM', 'Ji YF', 'Duan ZJ', 'Wei B']","Chen JM, Ji YF, Duan ZJ, Wei B",4,10.3389/fvets.2023.1194324,[],False,0,infectious_disease,2026-04-22
36530427,36530427,"Editorial: Emerging technologies in infectious disease treatment, prevention and control.",,Frontiers in cellular and infection microbiology,2022,['Baddal B'],Baddal B,1,10.3389/fcimb.2022.1096998,"['Humans', 'Communicable Diseases, Emerging', 'Population Surveillance']",False,0,infectious_disease,2026-04-22
34765569,34765569,Editorial: Unconventional Animal Models in Infectious Disease Research.,,Frontiers in cellular and infection microbiology,2021,['Kamareddine L'],Kamareddine L,1,10.3389/fcimb.2021.762581,[],False,0,infectious_disease,2026-04-22
37435124,37435124,Common Sports Infectious Disease.,"There is growing concern about the impact of infectious diseases in athletes, especially as they relate to exposures in athletic training facilities. This article reviews common pathogens encountered in athletic training facilities, while offering an evidence-based overview of practical preventative measures that can be implemented to reduce the incidence of infectious diseases in close-contact sports such as American football and wrestling.",HSS journal : the musculoskeletal journal of Hospital for Special Surgery,2023-Aug,"['Raji Y', 'Knapik DM', 'Schroeder AN', 'Voos JE']","Raji Y, Knapik DM, Schroeder AN, Voos JE",4,10.1177/15563316221149025,[],True,445,infectious_disease,2026-04-22
39865050,39865050,Outcome Prediction in Infectious Disease.,"Sepsis is a critical, life-threatening condition that demands precise prediction to mitigate adverse outcomes. The heterogeneity of sepsis leads to variable prognoses, making early and accurate identification increasingly difficult. Despite ongoing advancements, no single gold standard has emerged for sepsis prediction. Current research explores a range of prognostic tools, from traditional scoring systems and biomarkers to cutting-edge omics technologies and artificial intelligence. These tools can differ significantly across patient populations and clinical settings, such as the emergency department (ED) and intensive care unit (ICU). This review aims to critically evaluate the development and application of outcome prediction modalities in sepsis and other infectious diseases, highlighting the progress made and identifying areas for further research.",Acta medica Indonesiana,2024-Oct,"['Lie KC', 'Yonggara Y', 'Pasaribu A', 'Shakinah S', 'Nainggolan L']","Lie KC, Yonggara Y, Pasaribu A, Shakinah S, Nainggolan L",5,,"['Humans', 'Sepsis', 'Prognosis', 'Intensive Care Units', 'Biomarkers', 'Artificial Intelligence', 'Emergency Service, Hospital', 'Communicable Diseases']",True,865,infectious_disease,2026-04-22
36990280,36990280,Teaching Infectious Disease Pathology and Taking it To Africa.,"With the advent of increasing emerging infectious diseases, rising antibiotic resistance, and the growing number of immunocompromised patients, there is increasing demand for infectious disease (ID) pathology expertise and microbiology testing. Currently, ID pathology training and emerging molecular microbiology techniques (eg, metagenomic next-generation sequencing and whole genome sequencing) are not included in the most American Council of Graduate Medical Education medical microbiology fellowship curricula, and not surprisingly, many institutions lack anatomical pathologists with expertise in ID pathology and advanced molecular diagnostics. In this article, we describe the curriculum and structure of the Franz von Lichtenberg Fellowship in Infectious Disease and Molecular Microbiology at Brigham and Women's Hospital in Boston, MA. We emphasize the value of a training model that strives to integrate anatomical pathology, clinical pathology, and molecular pathology by providing examples in a case-based format and presenting selected metrics of the potential effect of such integrative ID pathology service and briefly describing opportunities and challenges of our global health efforts in Rwanda.","Modern pathology : an official journal of the United States and Canadian Academy of Pathology, Inc",2023-May,"['Pyden A', 'Rugwizangoga B', 'Solomon IH', 'Laga AC']","Pyden A, Rugwizangoga B, Solomon IH, Laga AC",4,10.1016/j.modpat.2023.100168,"['Humans', 'Female', 'United States', 'Communicable Diseases', 'Curriculum', 'Education, Medical, Graduate', 'Pathology, Clinical', 'Africa', 'Pathology']",True,1215,infectious_disease,2026-04-22
40078800,40078800,Infectious disease as a driver of declines and extinctions.,"Infectious disease is an important driver of extinctions and population declines. With a few exceptions, such as the fungal disease chytridiomycosis in frogs, disease is probably underestimated as a cause of both local and global extinction because it often co-occurs with other more overt drivers of extinction, and its signs can be easily overlooked. Here, we discuss issues around attributing extinction to infectious disease and overview key underlying factors. We then examine the extent to which anthropogenic influences, such as climate change, habitat destruction and exotic species introductions, are likely to lead to increased extinction risk in association with infectious disease. Finally, we discuss strategies to mitigate the threat of extinction due to infectious disease.",Cambridge prisms. Extinction,2024,"['McCallum H', 'Foufopoulos J', 'Grogan LF']","McCallum H, Foufopoulos J, Grogan LF",3,10.1017/ext.2024.1,[],True,788,infectious_disease,2026-04-22
