paper_id,pmid,title,abstract,journal,publication_date,authors,authors_str,num_authors,doi,mesh_terms,has_abstract,abstract_length,specialty,collection_date
37827183,37827183,Pragmatic solutions to reduce the global burden of stroke: a World Stroke Organization-Lancet Neurology Commission.,"Stroke is the second leading cause of death worldwide. The burden of disability after a stroke is also large, and is increasing at a faster pace in low-income and middle-income countries than in high-income countries. Alarmingly, the incidence of stroke is increasing in young and middle-aged people (ie, age <55 years) globally. Should these trends continue, Sustainable Development Goal 3.4 (reducing the burden of stroke as part of the general target to reduce the burden of non-communicable diseases by a third by 2030) will not be met. In this Commission, we forecast the burden of stroke from 2020 to 2050. We project that stroke mortality will increase by 50%—from 6·6 million (95% uncertainty interval [UI] 6·0 million–7·1 million) in 2020, to 9·7 million (8·0 million–11·6 million) in 2050—with <b>disability-adjusted life-years</b> (DALYs) growing over the same period from 144·8 million (133·9 million–156·9 million) in 2020, to 189·3 million (161·8 million–224·9 million) in 2050. These projections prompted us to do a situational analysis across the four pillars of the stroke quadrangle: surveillance, prevention, acute care, and rehabilitation. We have also identified the barriers to, and facilitators for, the achievement of these four pillars. DISABILITY-ADJUSTED LIFE-YEARS (DALYS): The sum of the years of life lost as a result of premature mortality from a disease and the years lived with a disability associated with prevalent cases of the disease in a population. One DALY represents the loss of the equivalent of one year of full health On the basis of our assessment, we have identified and prioritised several recommendations. For each of the four pillars (surveillance, prevention, acute care, and rehabilitation), we propose pragmatic solutions for the implementation of evidence-based interventions to reduce the global burden of stroke. The estimated direct (ie, treatment and rehabilitation) and indirect (considering productivity loss) costs of stroke globally are in excess of US$891 billion annually. The pragmatic solutions we put forwards for urgent implementation should help to mitigate these losses, reduce the global burden of stroke, and contribute to achievement of Sustainable Development Goal 3.4, the WHO Intersectoral Global Action Plan on epilepsy and other neurological disorders (2022–2031), and the WHO Global Action Plan for prevention and control of non-communicable diseases. Reduction of the global burden of stroke, particularly in low-income and middle-income countries, by implementing primary and secondary stroke prevention strategies and evidence-based acute care and rehabilitation services is urgently required. Measures to facilitate this goal include: the establishment of a framework to monitor and assess the burden of stroke (and its risk factors) and stroke services at a national level; the implementation of integrated population-level and individual-level prevention strategies for people at any increased risk of cerebrovascular disease, with emphasis on early detection and control of hypertension; planning and delivery of acute stroke care services, including the establishment of stroke units with access to reperfusion therapies for ischaemic stroke and workforce training and capacity building (and monitoring of quality indicators for these services nationally, regionally, and globally); the promotion of interdisciplinary stroke care services, training for caregivers, and capacity building for community health workers and other health-care providers working in stroke rehabilitation; and the creation of a stroke advocacy and implementation ecosystem that includes all relevant communities, organisations, and stakeholders.",The Lancet. Neurology,2023-Dec,"['Feigin VL', 'Owolabi MO']","Feigin VL, Owolabi MO",2,10.1016/S1474-4422(23)00277-6,"['Humans', 'Global Health', 'World Health Organization', 'Stroke', 'Neurology']",True,3707,neurology,2026-04-22
34524968,34524968,Ethical Considerations in Dementia Diagnosis and Care: AAN Position Statement.,"Alzheimer disease and other dementias present unique practical challenges for patients, their families, clinicians, and health systems. These challenges reflect not only the growing public health effect of dementia in an aging global population, but also more specific ethical complexities including early loss of patients' capacity to make decisions regarding their own care, the stigma often associated with a dementia diagnosis, the difficulty of balancing concern for patients' welfare with respect for patients' remaining independence, and the effect on the physical, emotional, and financial well-being of family caregivers. Caring for patients with dementia requires respecting patient autonomy while acknowledging progressively diminishing decisional capacity and continuing to provide care in accordance with other core ethical principles (beneficence, justice, and nonmaleficence). Whereas these ethical principles remain unchanged, neurologists must reconsider how to apply them given changes across multiple domains including our understanding of disease, clinical and legal tools for addressing manifestations of illness, our expanding awareness of the crucial role of family caregivers in providing care and maintaining patient quality of life, and societal conceptions of dementia and individuals' personal expectations for aging. This revision to the American Academy of Neurology's 1996 position statement summarizes ethical considerations that often arise in caring for patients with dementia; although it addresses how such considerations influence patient management, it is not a clinical practice guideline.",Neurology,2021-Jul-13,"['Chiong W', 'Tsou AY', 'Simmons Z', 'Bonnie RJ', 'Russell JA']","Chiong W, Tsou AY, Simmons Z, Bonnie RJ, Russell JA",5,10.1212/WNL.0000000000012079,"['Dementia', 'Humans', 'Neurology']",True,1628,neurology,2026-04-22
37407108,37407108,Medicolegal and Ethical Issues in Neurology.,,Neurologic clinics,2023-Aug,"['Kass JS', 'Rubin MA']","Kass JS, Rubin MA",2,10.1016/j.ncl.2023.05.005,"['Humans', 'Neurology']",False,0,neurology,2026-04-22
31888970,31888970,Humanities in Neurology.,,Neurology,2020-Feb-11,"['Gutmann L', 'Acosta LM', 'Moawad H']","Gutmann L, Acosta LM, Moawad H",3,10.1212/WNL.0000000000008886,"['Editorial Policies', 'Humanities', 'Humans', 'Neurology', 'Periodicals as Topic', 'Writing']",False,0,neurology,2026-04-22
38863385,38863385,World Federation of Neurology.,"To acknowledge the occasion of the 10th anniversary of the formation of the European Academy of Neurology (EAN), the World Federation of Neurology was invited to contribute its perspective on the formation of the EAN and its activities over the past decade. This article is based on the experiences of the author in several functions with the European Union of Medical Specialists, the European Federation of Neurology and the European Neurological Society and with the World Federation of Neurology as a trustee since 2009. This article is supported by the author's own archive as well as by several publications. The formation of the EAN was influenced by the activities of the two main predecessor societies, the European Neurological Society and European Federation of Neurology, which left an imprint on the structure of the EAN. The newly formed EAN underwent rigorous structural and organizational changes and has been acting as a successful and independent regional society, expanding increasingly in worldwide activities. The EAN, with its 47 member countries, strong democratic leadership and structure, is an excellent example of a regional society with expanding global influence that uses its advocacy skills to influence and improve the structure of neurology in Europe.",European journal of neurology,2024-Nov,['Grisold W'],Grisold W,1,10.1111/ene.16347,"['Humans', 'Europe', 'Neurology', 'Societies, Medical', 'History, 21st Century']",True,1284,neurology,2026-04-22
37590831,37590831,Sleep Deprivation and Its Consequences.,"This article reviews the clinical, cognitive, behavioral, and physiologic consequences of sleep deprivation in relation to general neurology practice. Despite being one of the most common sleep problems in modern society, the role of sleep deprivation is underrecognized and underestimated in clinical medicine and general neurology practice. The recognition, diagnosis, and management of sleep deprivation in neurologic practice have only recently received close attention. The consequences of sleep deprivation involve all aspects of general neurology practice, including individuals with neurologic disease, neurologists, communities, and health care systems. The identification and timely management of sleep deprivation symptoms may help to improve symptoms of underlying primary neurologic disorders. This article emphasizes complexities related to the identification and evaluation of sleep deprivation in general neurology practice and describes the consequences of sleep deprivation. By recognizing sleep deprivation in patients with neurologic conditions, the neurologist can provide comprehensive care and contribute to improved clinical and neurologic outcomes.","Continuum (Minneapolis, Minn.)",2023-Aug-01,['Chernyshev OY'],Chernyshev OY,1,10.1212/CON.0000000000001323,"['Humans', 'Sleep Deprivation', 'Neurology', 'Neurologists']",True,1173,neurology,2026-04-22
36162854,36162854,In defence of general neurology.,,Practical neurology,2022-Dec,['Anderson NE'],Anderson NE,1,10.1136/pn-2022-003567,"['Humans', 'Neurology']",False,0,neurology,2026-04-22
35444053,35444053,Finding Fellowship in Neurology Fellowship Recruitment.,,Neurology,2022-May-31,['Robbins MS'],Robbins MS,1,10.1212/WNL.0000000000200790,"['Education, Medical, Graduate', 'Fellowships and Scholarships', 'Humans', 'Internship and Residency', 'Neurology']",False,0,neurology,2026-04-22
33856477,33856477,Bibliometric Analysis of Neurology Articles Published in General Medicine Journals.,"A significant portion of neurology literature is published in general medicine journals. Despite this, a detailed examination of publication patterns of neurology articles in these journals has not yet been carried out. To examine the publication patterns of neurology articles in general medicine journals during a 10-year period using a bibliometric approach. This cross-sectional bibliometric analysis identified the top 5 general medicine journals using the 2017 Journal Citations Report. Four other medical subspecialties (ie, immunology, endocrinology, gastroenterology, and pulmonology) were selected for comparison of publication patterns with neurology. Using MEDLINE, the 5 journals were searched for articles published between 2009 and 2018 that were indexed with the following MeSH terms: nervous system diseases, immune system diseases, endocrine system diseases, gastrointestinal diseases, and respiratory tract diseases. Data analysis was conducted from February 2019 to December 2020. Publications were characterized by journal, specialty, and study design. These variables were used for comparison of publication numbers. The general medicine journals with the 5 highest journal impact factors (JIF) were New England Journal of Medicine (NEJM; JIF 79.3), Lancet (JIF 53.3), JAMA (JIF 47.7), BMJ (JIF 23.6), and PLOS Medicine (JIF 11.7). Our bibliometric search yielded 3719 publications, of which 1098 (29.5%) were in neurology. Of these 1098 neurology publications, 317 (28.9%) were published in NEJM, 205 (18.7%) in Lancet, 284 (25.9%) in JAMA, 214 (19.5%) in BMJ, and 78 (7.1%) in PLOS Medicine. Randomized clinical trials were the most frequent neurology study type in general medicine journals (519 [47.3%]). The number of publications in each of the other specialties were as follows: immunology, 817; endocrinology, 633; gastroenterology, 353; and pulmonology, 818. The results of this study provide some guidance to authors regarding where they may wish to consider submitting their neurology research. Compared with other specialties, neurology-based articles are published more frequently in general medicine journals.",JAMA network open,2021-Apr-01,"['Wilson M', 'Sampson M', 'Barrowman N', 'Doja A']","Wilson M, Sampson M, Barrowman N, Doja A",4,10.1001/jamanetworkopen.2021.5840,"['Bibliometrics', 'Cross-Sectional Studies', 'General Practice', 'Humans', 'Journal Impact Factor', 'Neurology', 'Periodicals as Topic']",True,2145,neurology,2026-04-22
31801831,31801831,Teleneurology is neurology.,,Neurology,2020-Jan-07,"['Guzik AK', 'Switzer JA']","Guzik AK, Switzer JA",2,10.1212/WNL.0000000000008693,"['Neurology', 'Telemedicine', 'United States']",False,0,neurology,2026-04-22
38575763,38575763,"Diversity, equity and inclusion in neurology.",,Nature reviews. Neurology,2024-Apr,[],,0,10.1038/s41582-024-00951-1,"['Humans', 'Diversity, Equity, Inclusion', 'Neurology']",False,0,neurology,2026-04-22
34028498,34028498,Advanced Practice Clinicians-Neurology's Underused Resource.,,JAMA neurology,2021-Aug-01,"['Cook CL', 'Schwarz HB']","Cook CL, Schwarz HB",2,10.1001/jamaneurol.2021.1416,"['Health Services Needs and Demand', 'Humans', 'Neurologists', 'Neurology', 'Physicians']",False,0,neurology,2026-04-22
