paper_id,pmid,title,abstract,journal,publication_date,authors,authors_str,num_authors,doi,mesh_terms,has_abstract,abstract_length,specialty,collection_date
36075878,36075878,Non-small cell lung cancer in China.,"In China, lung cancer is a primary cancer type with high incidence and mortality. Risk factors for lung cancer include tobacco use, family history, radiation exposure, and the presence of chronic lung diseases. Most early-stage non-small cell lung cancer (NSCLC) patients miss the optimal timing for treatment due to the lack of clinical presentations. Population-based nationwide screening programs are of significant help in increasing the early detection and survival rates of NSCLC in China. The understanding of molecular carcinogenesis and the identification of oncogenic drivers dramatically facilitate the development of targeted therapy for NSCLC, thus prolonging survival in patients with positive drivers. In the exploration of immune escape mechanisms, programmed cell death protein 1 (PD-1)/programmed death-ligand 1 (PD-L1) inhibitor monotherapy and PD-1/PD-L1 inhibitor plus chemotherapy have become a standard of care for advanced NSCLC in China. In the Chinese Society of Clinical Oncology's guidelines for NSCLC, maintenance immunotherapy is recommended for locally advanced NSCLC after chemoradiotherapy. Adjuvant immunotherapy and neoadjuvant chemoimmunotherapy will be approved for resectable NSCLC. In this review, we summarized recent advances in NSCLC in China in terms of epidemiology, biology, molecular pathology, pathogenesis, screening, diagnosis, targeted therapy, and immunotherapy.","Cancer communications (London, England)",2022-Oct,"['Chen P', 'Liu Y', 'Wen Y', 'Zhou C']","Chen P, Liu Y, Wen Y, Zhou C",4,10.1002/cac2.12359,"['B7-H1 Antigen', 'Carcinoma, Non-Small-Cell Lung', 'Humans', 'Immune Checkpoint Inhibitors', 'Lung Neoplasms', 'Programmed Cell Death 1 Receptor']",True,1413,oncology,2026-04-22
39419054,39419054,"Induction chemotherapy followed by standard chemoradiotherapy versus standard chemoradiotherapy alone in patients with locally advanced cervical cancer (GCIG INTERLACE): an international, multicentre, randomised phase 3 trial.","Locally advanced cervical cancer is treated with chemoradiotherapy (standard of care), but many patients still relapse and die from metastatic disease. We investigated chemoradiotherapy with or without induction chemotherapy to determine whether induction chemotherapy improves both progression-free survival and overall survival. The INTERLACE trial was a multicentre, randomised phase 3 trial done at 32 medical centres in Brazil, India, Italy, Mexico, and the UK. Adults (aged ≥18 years) with locally advanced cervical cancer (FIGO 2008 stage IB1 disease with nodal involvement, or stage IB2, IIA, IIB, IIIB, or IVA disease) were randomly assigned (1:1), by minimisation, using a central electronic system, to standard cisplatin-based chemoradiotherapy (once-a-week intravenous cisplatin 40 mg/m<sup>2</sup> for 5 weeks with 45·0-50·4 Gy external beam radiotherapy delivered in 20-28 fractions plus brachytherapy to achieve a minimum total 2 Gy equivalent dose of 78-86 Gy) alone or induction chemotherapy (once-a-week intravenous carboplatin area under the receiver operator curve 2 and paclitaxel 80 mg/m<sup>2</sup> for 6 weeks) followed by standard cisplatin-based chemoradiotherapy. Stratification factors were recruiting site, stage, nodal status, three-dimensional conformal radiotherapy or intensity modulated radiotherapy, age, tumour size, and histology (squamous vs non-squamous). Primary endpoints were progression-free survival and overall survival within the intention-to-treat population. This trial is registered with ClinicalTrials.gov, NCT01566240, and EUDRACT, 2011-001300-35. Between Nov 8, 2012, and Nov 17, 2022, 500 eligible patients were enrolled and randomly assigned to the chemoradiotherapy alone group (n=250) or the induction chemotherapy with chemoradiotherapy group. Of 500 patients, 354 (70%) had stage IIB disease and 56 (11%) stage IIIB disease. Pelvic lymph nodes were positive in 215 (43%) patients. 230 (92%) patients who received induction chemotherapy had at least five cycles. Median interval between induction chemotherapy and chemoradiotherapy was 7 days. Four or more cycles of cisplatin were given to 212 (85%) participants in the induction chemotherapy with chemoradiotherapy group and to 224 (90%) of participants in the chemoradiotherapy alone group. 462 (92%) participants received external beam radiotherapy and brachytherapy with a median overall treatment time of 45 days. After a median follow-up of 67 months, 5-year progression-free survival rates were 72% in the induction chemotherapy with chemoradiotherapy group and 64% in the chemoradiotherapy alone group with a hazard ratio (HR) of 0·65 (95% CI 0·46-0·91, p=0·013). 5-year overall survival rates were 80% in the induction chemotherapy with chemoradiotherapy group and 72% in the chemoradiotherapy alone group, with an HR of 0·60 (95% CI 0·40-0·91, p=0·015). Grade 3 or greater adverse events were reported in 147 (59%) of 250 individuals in the induction chemotherapy with chemoradiotherapy group versus 120 (48%) of 250 individuals in the chemoradiotherapy alone group. Short-course induction chemotherapy followed by chemoradiotherapy significantly improves survival of patients with locally advanced cervical cancer. Cancer Research UK and University College London-University College London Hospitals Biomedical Research Centre.","Lancet (London, England)",2024-Oct-19,"['McCormack M', 'Eminowicz G', 'Gallardo D', 'Diez P', 'Farrelly L', 'Kent C', 'Hudson E', 'Panades M', 'Mathew T', 'Anand A', 'Persic M', 'Forrest J', 'Bhana R', 'Reed N', 'Drake A', 'Adusumalli M', 'Mukhopadhyay A', 'King M', 'Whitmarsh K', 'McGrane J', 'Colombo N', 'Mak C', 'Mandal R', 'Chowdhury RR', 'Alamilla-Garcia G', 'Chávez-Blanco A', 'Stobart H', 'Feeney A', 'Vaja S', 'Hacker AM', 'Hackshaw A', 'Ledermann JA']","McCormack M, Eminowicz G, Gallardo D, Diez P, Farrelly L, Kent C, Hudson E, Panades M, Mathew T, Anand A, Persic M, Forrest J, Bhana R, Reed N, Drake A, Adusumalli M, Mukhopadhyay A, King M, Whitmarsh K, McGrane J, Colombo N, Mak C, Mandal R, Chowdhury RR, Alamilla-Garcia G, Chávez-Blanco A, Stobart H, Feeney A, Vaja S, Hacker AM, Hackshaw A, Ledermann JA",32,10.1016/S0140-6736(24)01438-7,"['Humans', 'Female', 'Uterine Cervical Neoplasms', 'Middle Aged', 'Chemoradiotherapy', 'Cisplatin', 'Adult', 'Induction Chemotherapy', 'Paclitaxel', 'Carboplatin', 'Aged', 'Antineoplastic Combined Chemotherapy Protocols', 'Neoplasm Staging', 'Progression-Free Survival', 'India', 'Brachytherapy', 'Mexico']",True,3346,oncology,2026-04-22
37658552,37658552,Nuclear Cardio-Oncology.,"Nuclear cardio-oncology is a specialized field that combines aspects of nuclear medicine, cardiology, and oncology to diagnose and manage cardiovascular complications in cancer patients. It focuses on the assessment of cardiovascular health and the detection of potential heart-related side effects caused by cancer treatments.",Hellenic journal of nuclear medicine,2023,['Koutelou M'],Koutelou M,1,,"['Humans', 'Nuclear Medicine', 'Medical Oncology', 'Cardiology', 'Neoplasms', 'Cardiovascular Diseases', 'Cardio-Oncology']",True,327,oncology,2026-04-22
32133724,32133724,Artificial intelligence in oncology.,"Artificial intelligence (AI) has contributed substantially to the resolution of a variety of biomedical problems, including cancer, over the past decade. Deep learning, a subfield of AI that is highly flexible and supports automatic feature extraction, is increasingly being applied in various areas of both basic and clinical cancer research. In this review, we describe numerous recent examples of the application of AI in oncology, including cases in which deep learning has efficiently solved problems that were previously thought to be unsolvable, and we address obstacles that must be overcome before such application can become more widespread. We also highlight resources and datasets that can help harness the power of AI for cancer research. The development of innovative approaches to and applications of AI will yield important insights in oncology in the coming decade.",Cancer science,2020-May,"['Shimizu H', 'Nakayama KI']","Shimizu H, Nakayama KI",2,10.1111/cas.14377,"['Artificial Intelligence', 'Deep Learning', 'Genomics', 'Humans', 'Image Processing, Computer-Assisted', 'Medical Oncology', 'Neoplasms', 'Precision Medicine']",True,882,oncology,2026-04-22
31928434,31928434,Cardio-Immuno-Oncology.,Applying novel technology developed in immuno-oncology to cardiovascular biology and disease may be transformative.,Circulation,2020-Jan-14,"['Zaha VG', 'Meijers WC', 'Moslehi J']","Zaha VG, Meijers WC, Moslehi J",3,10.1161/CIRCULATIONAHA.119.042276,"['Cardiovascular Diseases', 'Cell- and Tissue-Based Therapy', 'Cytokines', 'Humans', 'Immune System', 'Immunotherapy', 'Neoplasms', 'Prognosis']",True,115,oncology,2026-04-22
32940764,32940764,Artificial intelligence and radiomics for radiation oncology.,,Strahlentherapie und Onkologie : Organ der Deutschen Rontgengesellschaft ... [et al],2020-Oct,['Kocher M'],Kocher M,1,10.1007/s00066-020-01676-y,"['Artificial Intelligence', 'Computational Biology', 'Humans', 'Image Processing, Computer-Assisted', 'Neoplasms', 'Radiation Oncology', 'Radiotherapy Planning, Computer-Assisted']",False,0,oncology,2026-04-22
37432086,37432086,Interventional Oncology: 2043 and Beyond.,"Interventional oncology is a subspecialty of interventional radiology focused on treating patients with cancer using minimally invasive, image-guided procedures. The role of interventional oncology has become so integral for supporting patients with cancer that many consider it the fourth pillar of oncology-a recent addition to the traditional pillars of medical oncology, surgery, and radiation oncology. As highlighted herein, the authors predict opportunities for growth in precision oncology, immunotherapy, advanced imaging, and novel interventions, facilitated by emergent technologies like artificial intelligence, gene editing, molecular imaging, and robotics. Beyond these technological breakthroughs, however, the defining characteristic of interventional oncology in 2043 will be a well-developed clinical and research infrastructure that enables greater integration of interventional oncology procedures into standard practice.",Radiology,2023-Jul,"['Elsayed M', 'Solomon SB']","Elsayed M, Solomon SB",2,10.1148/radiol.230139,"['Humans', 'Neoplasms', 'Artificial Intelligence', 'Precision Medicine', 'Medical Oncology', 'Radiation Oncology']",True,941,oncology,2026-04-22
35323350,35323350,Non-Small-Cell Lung Cancer in 2022: A Review for General Practitioners in Oncology.,"Lung cancer is the leading cause of cancer death in Canada and a significant cause of morbidity for patients and their loved ones. There have been rapid advances in preventing, screening and treating this disease. Here, we present a contemporary review of treatment of non-small cell lung cancer in Canada based on current best practices. The focus of this review is to highlight recent data in screening for lung cancer, management of patients with early and locally-advanced non-small cell lung cancer, as well as management of patients with metastatic disease. There is a special focus on the incorporation of immunotherapy into practice and its associated toxicities.","Current oncology (Toronto, Ont.)",2022-Mar-09,"['Mithoowani H', 'Febbraro M']","Mithoowani H, Febbraro M",2,10.3390/curroncol29030150,"['Canada', 'Carcinoma, Non-Small-Cell Lung', 'General Practitioners', 'Humans', 'Immunotherapy', 'Lung Neoplasms']",True,671,oncology,2026-04-22
33706911,33706911,An Introduction to Pediatric Surgical Oncology.,,Surgical oncology clinics of North America,2021-Apr,['Dasgupta R'],Dasgupta R,1,10.1016/j.soc.2021.01.001,"['Child', 'Humans', 'Medical Oncology', 'Neoplasms', 'Surgical Oncology']",False,0,oncology,2026-04-22
35230693,35230693,Artificial Intelligence for Precision Oncology.,"Precision oncology is an innovative approach to cancer care in which diagnosis, prognosis, and treatment are informed by the individual patient's genetic and molecular profile. The rapid development of novel high-throughput omics technologies in recent years has led to the generation of massive amount of complex patient data, which in turn has prompted the development of novel computational infrastructures, platforms, and tools to store, retrieve, and analyze this data efficiently. Artificial intelligence (AI), and in particular its subfield of machine learning, is ideal for deciphering patterns in large datasets and offers unique opportunities for advancing precision oncology. In this chapter, we provide an overview of the various public data resources and applications of AI in precision oncology and cancer research, from subtype identification to drug prioritization, using multi-omics datasets. We also discuss the impact of AI-powered medical image analysis in oncology and present the first diagnostic FDA-approved AI-powered tools.",Advances in experimental medicine and biology,2022,"['Bhalla S', 'Laganà A']","Bhalla S, Laganà A",2,10.1007/978-3-030-91836-1_14,"['Artificial Intelligence', 'Humans', 'Machine Learning', 'Medical Oncology', 'Neoplasms', 'Precision Medicine']",True,1049,oncology,2026-04-22
