paper_id,pmid,title,abstract,journal,publication_date,authors,authors_str,num_authors,doi,mesh_terms,has_abstract,abstract_length,specialty,collection_date
39209483,39209483,Embracing the challenges of neonatal and paediatric pulmonary hypertension.,"Paediatric pulmonary arterial hypertension (PAH) shares common features with adult disease, but is associated with several additional disorders and challenges that require unique approaches. This article discusses recent advances, ongoing challenges and distinct approaches for caring for infants and children with PAH, as presented by the paediatric task force of the 7th World Symposium on Pulmonary Hypertension. We provide updates on diagnosing, classifying, risk-stratifying and treating paediatric pulmonary hypertension (PH) and identify critical knowledge gaps. An updated risk stratification tool and treatment algorithm is provided, now also including strategies for patients with associated cardiopulmonary conditions. Treatment of paediatric PH continues to be hindered by the lack of randomised controlled clinical trials. The challenging management of children failing targeted PAH therapy is discussed, including balloon atrial septostomy, lung transplantation and pulmonary-to-systemic shunt (Potts). A novel strategy using a multimodal approach for the management of PAH associated with congenital heart diseases with borderline pulmonary vascular resistance is included. Advances in diagnosing neonatal PH, especially signs and interpretation of PH by echocardiography, are highlighted. A team approach to the rapidly changing physiology of neonatal PH is emphasised. Challenges in drug approval are discussed, particularly the challenges of designing accurate paediatric clinical trials with age-appropriate end-points and adequate enrolment.",The European respiratory journal,2024-Oct,"['Ivy D', 'Rosenzweig EB', 'Abman SH', 'Beghetti M', 'Bonnet D', 'Douwes JM', 'Manes A', 'Berger RMF']","Ivy D, Rosenzweig EB, Abman SH, Beghetti M, Bonnet D, Douwes JM, Manes A, Berger RMF",8,10.1183/13993003.01345-2024,"['Humans', 'Infant, Newborn', 'Child', 'Hypertension, Pulmonary', 'Infant', 'Echocardiography', 'Lung Transplantation', 'Heart Defects, Congenital', 'Vascular Resistance', 'Pediatrics', 'Risk Assessment', 'Child, Preschool', 'Algorithms']",True,1561,pediatrics,2026-04-22
32008266,32008266,Inguinal hernias in children.,"An inguinal hernia is one of the most common paediatric surgical presentations in a primary care setting. Hernias can present in multiple ways, ranging from an emergency such as a strangulated hernia to a less urgent reducible hernia. The aim of this article is to aid in appropriate diagnosis and management of hernias in children. The article also provides useful tips for hernia reduction that are especially beneficial in the primary care setting and assist with the identification of hernias that require urgent referral. Recognising the signs of a hernia containing compromised contents is essential to prevent serious complications such as intestinal perforation, testicular atrophy and ovarian damage. Other common conditions such as hydrocoele and undescended testis are sometimes confused with an inguinal hernia. Young patients under the age of three months and patients with concern for compromised contents require urgent referral. Recent evidence regarding controversial issues in inguinal hernia repair such as the role of laparoscopy and the relevance of a contralateral patent internal inguinal ring will be discussed.",Australian journal of general practice,2020,"['Yeap E', 'Pacilli M', 'Nataraja RM']","Yeap E, Pacilli M, Nataraja RM",3,10.31128/AJGP-08-19-5037,"['Diagnosis, Differential', 'Hernia, Inguinal', 'Humans', 'Laparoscopy', 'Pediatrics', 'Treatment Outcome']",True,1135,pediatrics,2026-04-22
34801739,34801739,Antibiotic Resistance in Paediatric Febrile Urinary Tract Infections.,"Febrile urinary tract infection (UTI) is currently considered the most frequent cause of serious bacterial illness in children in the first 2 years of life. UTI in paediatrics can irreversibly damage the renal parenchyma and lead to chronic renal insufficiency and related problems. To avoid this risk, an early effective antibiotic treatment is essential. Moreover, prompt treatment is mandatory to improve the clinical condition of the patient, prevent bacteraemia, and avoid the risk of bacterial localization in other body sites. However, antibiotic resistance for UTI-related bacterial pathogens continuously increases, making recommendations rapidly outdated and the definition of the best empiric antibiotic therapy more difficult. Variation in pathogen susceptibility to antibiotics is essential for the choice of an effective therapy. Moreover, proper identification of cases at increased risk of difficult-to-treat UTIs can reduce the risk of ineffective therapy. In this review, the problem of emerging antibiotic resistance among pathogens associated with the development of paediatric febrile UTIs and the best potential solutions to ensure the most effective therapy are discussed. Literature analysis showed that the emergence of antibiotic resistance is an unavoidable phenomenon closely correlated with the use of antibiotics themselves. To limit the emergence of resistance, every effort to reduce and rationalise antibiotic consumption must be made. An increased use of antibiotic stewardship can be greatly effective in this regard.",Journal of global antimicrobial resistance,2022-Jun,"['Esposito S', 'Biasucci G', 'Pasini A', 'Predieri B', 'Vergine G', 'Crisafi A', 'Malaventura C', 'Casadio L', 'Sella M', 'Pierantoni L', 'Gatti C', 'Paglialonga L', 'Sodini C', 'La Scola C', 'Bernardi L', 'Autore G', 'Canto GD', 'Argentiero A', 'Cantatore S', 'Ceccoli M', 'De Fanti A', 'Suppiej A', 'Lanari M', 'Principi N', 'Pession A', 'Iughetti L']","Esposito S, Biasucci G, Pasini A, Predieri B, Vergine G, Crisafi A, Malaventura C, Casadio L, Sella M, Pierantoni L, Gatti C, Paglialonga L, Sodini C, La Scola C, Bernardi L, Autore G, Canto GD, Argentiero A, Cantatore S, Ceccoli M, De Fanti A, Suppiej A, Lanari M, Principi N, Pession A, Iughetti L",26,10.1016/j.jgar.2021.11.003,"['Anti-Bacterial Agents', 'Antimicrobial Stewardship', 'Child', 'Drug Resistance, Microbial', 'Humans', 'Pediatrics', 'Urinary Tract Infections']",True,1552,pediatrics,2026-04-22
39724419,39724419,Childhood idiopathic nephrotic syndrome: recent advancements shaping future guidelines.,"Childhood idiopathic nephrotic syndrome is an important pediatric kidney disease associated with significant morbidities and even mortality. Several guidelines have been developed to standardize the terminology and patient care among the pediatric nephrology community. Since the publication of these guidelines, there have been major breakthroughs in the disease management and the understanding of underlying pathogenesis through multi-omics investigations, including the identification of anti-nephrin autoantibodies, genetic susceptibility loci, and the pathogenic role of B cell subsets. In this educational review, we summarize the recent major advancements in idiopathic nephrotic syndrome and attempt to provide potential therapeutic approaches in both steroid-sensitive and steroid-resistant nephrotic syndrome that may shape future guideline development.","Pediatric nephrology (Berlin, Germany)",2025-Aug,"['Chan EY', 'Boyer O']","Chan EY, Boyer O",2,10.1007/s00467-024-06634-9,"['Humans', 'Nephrotic Syndrome', 'Child', 'Practice Guidelines as Topic', 'Nephrology', 'Drug Resistance', 'Genetic Predisposition to Disease', 'Pediatrics', 'Membrane Proteins']",True,864,pediatrics,2026-04-22
33426659,33426659,Fundamentals and innovations in regional anaesthesia for infants and children.,"Regional anaesthesia in children has evolved rapidly in the last decade. Although it previously consisted of primarily neuraxial techniques, the practice now incorporates advanced peripheral nerve blocks, which were only recently described in adults. These novel blocks provide new avenues for providing opioid-sparing analgesia while minimising invasiveness, and perhaps risk, associated with older techniques. At the same time, established methods, such as infant spinal anaesthesia, under-utilised in the last 20 years, are experiencing a revival. The impetus has been the concern regarding the potential long-term neurocognitive effects of general anaesthesia in the young child. These techniques have expanded from single shot spinal anaesthesia to combined spinal/epidural techniques, which can now effectively provide surgical anaesthesia for procedures below the umbilicus for a prolonged period of time, thereby avoiding the need for general anaesthesia. Continuous 2-chloroprocaine infusions, previously only described for intra-operative regional anaesthesia, have gained popularity as a means of providing prolonged postoperative analgesia in epidural and continuous nerve block techniques. The rapid, liver-independent metabolism of 2-chloroprocaine makes it ideal for prolonged local anaesthetic infusions in neonates and small infants, obviating the increased risk of local anaesthetic systemic toxicity that occurs with amide local anaesthetics. Debate continues over certain practices in paediatric regional anaesthesia. While the rarity of complications makes comparative analyses difficult, data from large prospective registries indicate that providing regional anaesthesia to children while under general anaesthesia appears to be at least as safe as in the sedated or awake patient. In addition, the estimated frequency of serious adverse events demonstrates that regional blocks in children under general anaesthesia are no less safe than in awake adults. In infants, the techniques of direct thoracic epidural placement or caudal placement with cephalad threading each have distinct advantages and disadvantages. As the data cannot support the safety of one technique over the other, the site of epidural insertion remains largely a matter of anaesthetist discretion.",Anaesthesia,2021-Jan,"['Heydinger G', 'Tobias J', 'Veneziano G']","Heydinger G, Tobias J, Veneziano G",3,10.1111/anae.15283,"['Adolescent', 'Anesthesia, Conduction', 'Child', 'Child, Preschool', 'Humans', 'Infant', 'Infant, Newborn', 'Pediatrics']",True,2291,pediatrics,2026-04-22
34893463,34893463,Paediatric emergency medicine.,,Archives of disease in childhood,2022-Mar,"['Mollen CJ', 'Brown N']","Mollen CJ, Brown N",2,10.1136/archdischild-2021-323388,"['Child', 'Emergency Medical Services', 'Emergency Medicine', 'Emergency Service, Hospital', 'Hospitals', 'Humans', 'Pediatric Emergency Medicine']",False,0,pediatrics,2026-04-22
39227775,39227775,Emergency pediatric patients and use of the pediatric assessment triangle tool (PAT): a scoping review.,"We conducted a scoping review of the evidence for the use of the Pediatric Assessment Triangle (PAT) tool in emergency pediatric patients, in hospital and prehospital settings. We focused on the psychometric properties of the PAT, the reported impact, the setting and circumstances for tool implementation in clinical practice, and the evidence on teaching the PAT. We followed the Joanna Briggs Institute methodology for scoping reviews and registered the review protocol. We searched MEDLINE, PubMed Central, the Cochrane Library, Epistemonikos, Scopus, CINAHL, Grey literature report, Lens.org, and the web pages of selected emergency pediatrics organizations in August 2022. Two reviewers independently screened and extracted data from eligible articles. Fifty-five publications were included. The evidence suggests that the PAT is a valid tool for prioritizing emergency pediatric patients, guiding the selection of interventions to be undertaken, and determining the level of care needed for the patient in both hospital and prehospital settings. The PAT is reported to be fast, practical, and useful potentially impacting overcrowded and understaff emergency services. Results highlighted the importance of instruction prior using the tool. The PAT is included in several curricula and textbooks about emergency pediatric care. This scoping review suggests there is a growing volume of evidence on the use of the PAT to assess pediatric emergency patients, some of which might be amenable to a systematic review. Our review identified research gaps that may guide the planning of future research projects. Further research is warranted on the psychometric properties of the PAT to provide evidence on the tool's quality and usefulness. The simplicity and accuracy of the tool should be considered in addressing the current healthcare shortages and overcrowding in emergency services. Open Science Framework; 2022. https://osf.io/vkd5h/.",BMC emergency medicine,2024-Sep-04,"['Tørisen TAG', 'Glanville JM', 'Loaiza AF', 'Bidonde J']","Tørisen TAG, Glanville JM, Loaiza AF, Bidonde J",4,10.1186/s12873-024-01068-w,"['Humans', 'Child', 'Psychometrics', 'Pediatrics', 'Emergency Service, Hospital', 'Emergency Medical Services']",True,1943,pediatrics,2026-04-22
37004740,37004740,Hemodynamic optimization in pediatrics: It is time to grow up.,,"Anaesthesia, critical care & pain medicine",2023-Jun,"['Lilot M', 'Jacquet-Lagreze M', 'Dadure C']","Lilot M, Jacquet-Lagreze M, Dadure C",3,10.1016/j.accpm.2023.101222,"['Child', 'Humans', 'Hemodynamics', 'Cardiac Output', 'Pediatrics', 'Fluid Therapy']",False,0,pediatrics,2026-04-22
34896279,34896279,Education in Palliative and End-of-Life Care-Pediatrics: Curriculum Use and Dissemination.,"The majority of seriously ill children do not have access to specialist pediatric palliative care (PPC) services nor to clinicians trained in primary PPC. The Education in Palliative and End-of-Life Care (EPEC)-Pediatrics curriculum and dissemination project was created in 2011 in response to this widespread education and training need. Since its implementation, EPEC-Pediatrics has evolved and has been disseminated worldwide. Assessment of past EPEC-Pediatrics participants' (""Trainers"") self-reported PPC knowledge, attitudes, and skills; use of the curriculum in teaching; and feedback about the program's utility and future direction. From 2011 to 2019 survey of EPEC-Pediatrics past conference participants, using descriptive and content analyses. About 172 of 786 (22% response rate) EPEC-Pediatrics past participants from 59 countries across six continents completed the survey. Trainers, including Master Facilitators (MFs), used the curriculum mostly to teach interdisciplinary clinicians and reported improvement in teaching ability as well as in attitude, knowledge, and skills (AKS) in two core domains of PPC: communication and pain and symptom management. The most frequently taught modules were about multimodal management of distressing symptoms. Trainers suggested adding new content to the current curriculum and further expansion in low-medium income countries. Most (71%) reported improvements in the clinical care of children with serious illnesses at their own institutions. EPEC-Pediatrics is a successful curriculum and dissemination project that improves participants' self-reported teaching skills and AKS's in many PPC core domains. Participating clinicians not only taught and disseminated the curriculum content, they also reported improvement in the clinical care of children with serious illness.",Journal of pain and symptom management,2022-Mar,"['Postier AC', 'Wolfe J', 'Hauser J', 'Remke SS', 'Baker JN', 'Kolste A', 'Dussel V', 'Bernadá M', 'Widger K', 'Rapoport A', 'Drake R', 'Chong PH', 'Friedrichsdorf SJ']","Postier AC, Wolfe J, Hauser J, Remke SS, Baker JN, Kolste A, Dussel V, Bernadá M, Widger K, Rapoport A, Drake R, Chong PH, Friedrichsdorf SJ",13,10.1016/j.jpainsymman.2021.11.017,"['Child', 'Curriculum', 'Humans', 'Palliative Care', 'Pediatrics', 'Surveys and Questionnaires', 'Terminal Care']",True,1830,pediatrics,2026-04-22
38529849,38529849,Paediatric steatotic liver disease has unique characteristics: A multisociety statement endorsing the new nomenclature.,"Nonalcoholic fatty liver disease (NAFLD) has been a commonly used term and diagnosis in paediatric hepatology, gastroenterology, and endocrinology clinics for over 30 years. A multisociety Delphi process has determined a new name ""Steatotic Liver Disease"" (SLD) as the overarching term for disorders associated with hepatic lipid accumulation. Our Societies give our support to steatotic liver disease as the best overarching term for use in our communities. Metabolic dysfunction-associated steatotic liver disease (MASLD) overcomes many of the shortcomings of the name NAFLD. Here, we highlight several points of the new nomenclature that are of particular importance for our community and their consequences for implementation including: diagnostic criteria, considering alternate diagnoses, practical implementation, research, advocacy, and education for paediatricians. As with all nomenclature changes, it will take a concerted effort from our paediatric societies to help integrate the optimal use of this into practice.",Journal of pediatric gastroenterology and nutrition,2024-May,[],,0,10.1002/jpn3.12156,"['Humans', 'Terminology as Topic', 'Child', 'Non-alcoholic Fatty Liver Disease', 'Pediatrics', 'Societies, Medical', 'Fatty Liver', 'Delphi Technique']",True,1027,pediatrics,2026-04-22
