paper_id,pmid,title,abstract,journal,publication_date,authors,authors_str,num_authors,doi,mesh_terms,has_abstract,abstract_length,specialty,collection_date
33289576,33289576,The medical model and its application in mental health.,"This article provides a conceptual overview of the medical model and its application to psychiatry, understanding the medical model in psychiatry as a biopsychosocial model. The article discusses basic concepts relevant to the medical model (illness, disease, disorder, condition, etc.), the nature of medical knowledge and diagnostic construct, medical classifications in psychiatry, and the medical model within multidisciplinary practice. Salient criticisms of the medical model are discussed and addressed at relevant points. It is recognized that concepts such as disease and illness lack uncontested definitions and are not free from value judgements even in general medicine. Diagnostic constructs used in psychiatry are often descriptive heterogenous categories which can nonetheless offer clinical utility. The medical model co-exists with non-medical approaches and perspectives, and psychiatrists work in an interdisciplinary context with other models and professionals. Criticism of the medical model in psychiatry often fail to recognize the continuities between psychiatry and the rest of medicine, and the persistence of these controversies may be a result of fundamental disagreement over values.","International review of psychiatry (Abingdon, England)",2021-Aug,['Huda AS'],Huda AS,1,10.1080/09540261.2020.1845125,"['Humans', 'Mental Disorders', 'Mental Health', 'Psychiatry']",True,1212,psychiatry,2026-04-22
36641365,36641365,Invasive Computational Psychiatry.,"Computational psychiatry, a relatively new yet prolific field that aims to understand psychiatric disorders with formal theories about the brain, has seen tremendous growth in the past decade. Despite initial excitement, actual progress made by computational psychiatry seems stagnant. Meanwhile, understanding of the human brain has benefited tremendously from recent progress in intracranial neuroscience. Specifically, invasive techniques such as stereotactic electroencephalography, electrocorticography, and deep brain stimulation have provided a unique opportunity to precisely measure and causally modulate neurophysiological activity in the living human brain. In this review, we summarize progress and drawbacks in both computational psychiatry and invasive electrophysiology and propose that their combination presents a highly promising new direction-invasive computational psychiatry. The value of this approach is at least twofold. First, it advances our mechanistic understanding of the neural computations of mental states by providing a spatiotemporally precise depiction of neural activity that is traditionally unattainable using noninvasive techniques with human subjects. Second, it offers a direct and immediate way to modulate brain states through stimulation of algorithmically defined neural regions and circuits (i.e., algorithmic targeting), thus providing both causal and therapeutic insights. We then present depression as a use case where the combination of computational and invasive approaches has already shown initial success. We conclude by outlining future directions as a road map for this exciting new field as well as presenting cautions about issues such as ethical concerns and generalizability of findings.",Biological psychiatry,2023-Apr-15,"['Saez I', 'Gu X']","Saez I, Gu X",2,10.1016/j.biopsych.2022.09.032,"['Psychiatry', 'Computer Simulation', 'Humans', 'Neurosciences', 'Skull', 'Neurophysiology', 'Depression', 'Models, Neurological', 'Electrophysiology', 'Algorithms']",True,1747,psychiatry,2026-04-22
34784261,34784261,Firearms and psychiatry.,,"International review of psychiatry (Abingdon, England)",2021-Nov,['Nestadt PS'],Nestadt PS,1,10.1080/09540261.2021.1997236,"['Firearms', 'Humans', 'Psychiatry', 'Suicide']",False,0,psychiatry,2026-04-22
32010640,32010640,How Probiotics Affect the Microbiota.,"Probiotics have been used to treat a variety of diseases for decades; however, what is the rationale for their application? Such a treatment was first proposed in the early nineteenth century based on observations of decreased bifidobacterial populations in children suffering from diarrhea, suggesting that oral intake of bifidobacteria could replete this subpopulation of the microbiota and improve health. Since then, studies have shown modifications in the gut or skin microbiota in the course of a variety of diseases and suggested positive effects of certain probiotics. Most studies failed to report any impact on the microbiota. The impact of probiotics as well as of bacteria colonizing food does not reside in their ability to graft in the microbiota but rather in sharing genes and metabolites, supporting challenged microbiota, and directly influencing epithelial and immune cells. Such observations argue that probiotics could be associated with conventional drugs for insulin resistance, infectious diseases, inflammatory diseases, and psychiatric disorders and could also interfere with drug metabolism. Nevertheless, in the context of a plethora of probiotic strains and associations produced in conditions that do not allow direct comparisons, it remains difficult to know whether a patient would benefit from taking a particular probiotic. In other words, although several mechanisms are observed when studying a single probiotic strain, not all individual strains are expected to share the same effects. To clarify the role of probiotics in the clinic, we explored the relation between probiotics and the gut and skin microbiota.",Frontiers in cellular and infection microbiology,2019,"['Wieërs G', 'Belkhir L', 'Enaud R', 'Leclercq S', 'Philippart de Foy JM', 'Dequenne I', 'de Timary P', 'Cani PD']","Wieërs G, Belkhir L, Enaud R, Leclercq S, Philippart de Foy JM, Dequenne I, de Timary P, Cani PD",8,10.3389/fcimb.2019.00454,"['Animals', 'Anti-Bacterial Agents', 'Bacteria', 'Bifidobacterium', 'Child', 'Diarrhea', 'Drug Interactions', 'Drug Resistance, Bacterial', 'Gastrointestinal Microbiome', 'Humans', 'Probiotics', 'Psychiatry', 'Psychopathology']",True,1648,psychiatry,2026-04-22
35900161,35900161,"World Federation of Societies of Biological Psychiatry (WFSBP) guidelines for treatment of anxiety, obsessive-compulsive and posttraumatic stress disorders - Version 3. Part I: Anxiety disorders.","This is the third version of the guideline of the World Federation of Societies of Biological Psychiatry (WFSBP) Task Force for the Pharmacological Treatment of Anxiety, Obsessive-Compulsive and Posttraumatic Stress Disorders (published in 2002, revised in 2008). A consensus panel of 33 international experts representing 22 countries developed recommendations based on efficacy and acceptability of available treatments. In total, 1007 RCTs for the treatment of these disorders in adults, adolescents, and children with medications, psychotherapy and other non-pharmacological interventions were evaluated, applying the same rigorous methods that are standard for the assessment of medications. This paper, Part I, contains recommendations for the treatment of panic disorder/agoraphobia (PDA), generalised anxiety disorder (GAD), social anxiety disorder (SAD), specific phobias, mixed anxiety disorders in children and adolescents, separation anxiety and selective mutism. Selective serotonin reuptake inhibitors (SSRI) and serotonin-norepinephrine reuptake inhibitors (SNRIs) are first-line medications. Cognitive behavioural therapy (CBT) is the first-line psychotherapy for anxiety disorders. The expert panel also made recommendations for patients not responding to standard treatments and recommendations against interventions with insufficient evidence. It is the goal of this initiative to provide treatment guidance for these disorders that has validity throughout the world.",The world journal of biological psychiatry : the official journal of the World Federation of Societies of Biological Psychiatry,2023-Feb,"['Bandelow B', 'Allgulander C', 'Baldwin DS', 'Costa DLDC', 'Denys D', 'Dilbaz N', 'Domschke K', 'Eriksson E', 'Fineberg NA', 'Hättenschwiler J', 'Hollander E', 'Kaiya H', 'Karavaeva T', 'Kasper S', 'Katzman M', 'Kim YK', 'Inoue T', 'Lim L', 'Masdrakis V', 'Menchón JM', 'Miguel EC', 'Möller HJ', 'Nardi AE', 'Pallanti S', 'Perna G', 'Rujescu D', 'Starcevic V', 'Stein DJ', 'Tsai SJ', 'Van Ameringen M', 'Vasileva A', 'Wang Z', 'Zohar J']","Bandelow B, Allgulander C, Baldwin DS, Costa DLDC, Denys D, Dilbaz N, Domschke K, Eriksson E, Fineberg NA, Hättenschwiler J, Hollander E, Kaiya H, Karavaeva T, Kasper S, Katzman M, Kim YK, Inoue T, Lim L, Masdrakis V, Menchón JM, Miguel EC, Möller HJ, Nardi AE, Pallanti S, Perna G, Rujescu D, Starcevic V, Stein DJ, Tsai SJ, Van Ameringen M, Vasileva A, Wang Z, Zohar J",33,10.1080/15622975.2022.2086295,"['Adult', 'Adolescent', 'Child', 'Humans', 'Stress Disorders, Post-Traumatic', 'Biological Psychiatry', 'Anxiety Disorders', 'Selective Serotonin Reuptake Inhibitors', 'Anxiety', 'Obsessive-Compulsive Disorder']",True,1486,psychiatry,2026-04-22
38879268,38879268,Pluralisms in psychiatry.,,The lancet. Psychiatry,2024-Jul,['The Lancet Psychiatry'],The Lancet Psychiatry,1,10.1016/S2215-0366(24)00179-2,"['Humans', 'Psychiatry', 'Cultural Diversity', 'Mental Disorders']",False,0,psychiatry,2026-04-22
32717764,32717764,Pharmacogenetics in Psychiatry.,"This Special Issue on Pharmacogenetics in Psychiatry consists of five selected articles which encompass the first concepts of pharmacogenetics, to implementation strategies applyng pharmacogenetic testing into psychiatric clinical practice.",Pharmacopsychiatry,2020-Jul,['Müller DJ'],Müller DJ,1,10.1055/a-1212-1101,"['Humans', 'Mental Disorders', 'Pharmacogenetics', 'Psychiatry']",True,240,psychiatry,2026-04-22
32482297,32482297,"Psychiatry and law in the digital age: untangling the hype, risk and promise.",,International journal of law and psychiatry,2020,"['Gooding P', 'Resnick K']","Gooding P, Resnick K",2,10.1016/j.ijlp.2020.101553,"['Digital Technology', 'Humans', 'Psychiatry']",False,0,psychiatry,2026-04-22
36535784,36535784,Evolving Abortion Law and Forensic Psychiatry.,,The journal of the American Academy of Psychiatry and the Law,2022-Dec,"['Hatters Friedman S', 'Landess J', 'Ross N', 'Kaempf A']","Hatters Friedman S, Landess J, Ross N, Kaempf A",4,10.29158/JAAPL.220076-22,"['Pregnancy', 'Female', 'Humans', 'Forensic Psychiatry', 'Psychiatry', 'Mental Disorders']",False,0,psychiatry,2026-04-22
36878884,36878884,What is formulation in psychiatry?,"The practice of formulation has been both championed and severely criticised within clinical psychiatry and interest in formulation within the teaching of clinical psychiatry is at a low ebb. This article traces the history of the biopsychosocial model, the concept of diagnostic hierarchy and the role of 'verstehen' (or intersubjective meaning grasping) in the clinical assessment. All three of these concepts are considered relevant to the practice of formulation. Responding to challenges aimed at these concepts, it argues that formulation in psychiatry needs resuscitating and rethinking and provides some recommendations for a practice of formulation fit for the 21st century.",Psychological medicine,2023-Apr,['Owen G'],Owen G,1,10.1017/S0033291723000016,['Psychiatry'],True,683,psychiatry,2026-04-22
